@relation GOLDSTANDARD_AROUSAL

@attribute Instance_name string
@attribute frameTime numeric
@attribute GoldStandard numeric


@data

train_8,0,-0.014869
train_8,0.04,-0.014869
train_8,0.08,-0.014869
train_8,0.12,-0.014869
train_8,0.16,-0.014869
train_8,0.2,-0.014869
train_8,0.24,-0.014869
train_8,0.28,-0.014869
train_8,0.32,-0.014869
train_8,0.36,-0.014869
train_8,0.4,-0.014869
train_8,0.44,-0.014869
train_8,0.48,-0.014869
train_8,0.52,-0.014869
train_8,0.56,-0.014869
train_8,0.6,-0.014869
train_8,0.64,-0.014869
train_8,0.68,-0.014869
train_8,0.72,-0.014869
train_8,0.76,-0.014869
train_8,0.8,-0.014869
train_8,0.84,-0.014869
train_8,0.88,-0.014869
train_8,0.92,-0.014869
train_8,0.96,-0.014869
train_8,1,-0.014869
train_8,1.04,-0.013202
train_8,1.08,-0.0098691
train_8,1.12,-0.0098691
train_8,1.16,-0.0082024
train_8,1.2,-0.0082024
train_8,1.24,-0.0065358
train_8,1.28,0.00013089
train_8,1.32,0.0034642
train_8,1.36,0.0084642
train_8,1.4,0.013464
train_8,1.44,0.016798
train_8,1.48,0.021798
train_8,1.52,0.026798
train_8,1.56,0.028464
train_8,1.6,0.030131
train_8,1.64,0.033464
train_8,1.68,0.035131
train_8,1.72,0.035131
train_8,1.76,0.035131
train_8,1.8,0.038464
train_8,1.84,0.036798
train_8,1.88,0.035131
train_8,1.92,0.035131
train_8,1.96,0.033464
train_8,2,0.035131
train_8,2.04,0.033464
train_8,2.08,0.033464
train_8,2.12,0.031798
train_8,2.16,0.028464
train_8,2.2,0.026798
train_8,2.24,0.025131
train_8,2.28,0.015131
train_8,2.32,0.016798
train_8,2.36,0.021798
train_8,2.4,0.021798
train_8,2.44,0.025131
train_8,2.48,0.033464
train_8,2.52,0.045131
train_8,2.56,0.053464
train_8,2.6,0.055131
train_8,2.64,0.055131
train_8,2.68,0.056798
train_8,2.72,0.066798
train_8,2.76,0.076798
train_8,2.8,0.083464
train_8,2.84,0.088464
train_8,2.88,0.091798
train_8,2.92,0.095131
train_8,2.96,0.096798
train_8,3,0.1018
train_8,3.04,0.10013
train_8,3.08,0.1018
train_8,3.12,0.1018
train_8,3.16,0.10346
train_8,3.2,0.1068
train_8,3.24,0.11013
train_8,3.28,0.12013
train_8,3.32,0.12513
train_8,3.36,0.1268
train_8,3.4,0.13013
train_8,3.44,0.13513
train_8,3.48,0.13846
train_8,3.52,0.1418
train_8,3.56,0.14346
train_8,3.6,0.1468
train_8,3.64,0.14846
train_8,3.68,0.15846
train_8,3.72,0.1618
train_8,3.76,0.16346
train_8,3.8,0.1668
train_8,3.84,0.1718
train_8,3.88,0.17346
train_8,3.92,0.18013
train_8,3.96,0.18346
train_8,4,0.18513
train_8,4.04,0.18513
train_8,4.08,0.18846
train_8,4.12,0.1918
train_8,4.16,0.1918
train_8,4.2,0.1918
train_8,4.24,0.1918
train_8,4.28,0.1918
train_8,4.32,0.19013
train_8,4.36,0.1918
train_8,4.4,0.19013
train_8,4.44,0.1818
train_8,4.48,0.17346
train_8,4.52,0.16846
train_8,4.56,0.16013
train_8,4.6,0.15013
train_8,4.64,0.13846
train_8,4.68,0.13846
train_8,4.72,0.13846
train_8,4.76,0.13346
train_8,4.8,0.1218
train_8,4.84,0.1018
train_8,4.88,0.098464
train_8,4.92,0.10013
train_8,4.96,0.098464
train_8,5,0.093464
train_8,5.04,0.093464
train_8,5.08,0.085131
train_8,5.12,0.080131
train_8,5.16,0.080131
train_8,5.2,0.081798
train_8,5.24,0.090131
train_8,5.28,0.096798
train_8,5.32,0.11013
train_8,5.36,0.11346
train_8,5.4,0.1168
train_8,5.44,0.1168
train_8,5.48,0.12013
train_8,5.52,0.12346
train_8,5.56,0.13013
train_8,5.6,0.1368
train_8,5.64,0.14013
train_8,5.68,0.1418
train_8,5.72,0.14346
train_8,5.76,0.1468
train_8,5.8,0.15346
train_8,5.84,0.15846
train_8,5.88,0.1618
train_8,5.92,0.1718
train_8,5.96,0.1818
train_8,6,0.18513
train_8,6.04,0.19513
train_8,6.08,0.19513
train_8,6.12,0.19513
train_8,6.16,0.19513
train_8,6.2,0.19513
train_8,6.24,0.19013
train_8,6.28,0.1718
train_8,6.32,0.16513
train_8,6.36,0.16013
train_8,6.4,0.15846
train_8,6.44,0.1568
train_8,6.48,0.15513
train_8,6.52,0.15013
train_8,6.56,0.1468
train_8,6.6,0.1418
train_8,6.64,0.13846
train_8,6.68,0.13346
train_8,6.72,0.13013
train_8,6.76,0.12013
train_8,6.8,0.11513
train_8,6.84,0.11346
train_8,6.88,0.10846
train_8,6.92,0.10846
train_8,6.96,0.11013
train_8,7,0.10846
train_8,7.04,0.1068
train_8,7.08,0.1068
train_8,7.12,0.1068
train_8,7.16,0.10513
train_8,7.2,0.10513
train_8,7.24,0.10513
train_8,7.28,0.10513
train_8,7.32,0.1068
train_8,7.36,0.11013
train_8,7.4,0.1118
train_8,7.44,0.11346
train_8,7.48,0.1168
train_8,7.52,0.1118
train_8,7.56,0.10846
train_8,7.6,0.1068
train_8,7.64,0.10013
train_8,7.68,0.1018
train_8,7.72,0.10513
train_8,7.76,0.10846
train_8,7.8,0.1118
train_8,7.84,0.11513
train_8,7.88,0.1168
train_8,7.92,0.11846
train_8,7.96,0.12013
train_8,8,0.1218
train_8,8.04,0.12513
train_8,8.08,0.13513
train_8,8.12,0.14513
train_8,8.16,0.14846
train_8,8.2,0.15346
train_8,8.24,0.15846
train_8,8.28,0.16013
train_8,8.32,0.16346
train_8,8.36,0.16513
train_8,8.4,0.1768
train_8,8.44,0.19513
train_8,8.48,0.2068
train_8,8.52,0.21846
train_8,8.56,0.22513
train_8,8.6,0.23013
train_8,8.64,0.2318
train_8,8.68,0.23846
train_8,8.72,0.24013
train_8,8.76,0.2418
train_8,8.8,0.24346
train_8,8.84,0.24846
train_8,8.88,0.25346
train_8,8.92,0.2618
train_8,8.96,0.27013
train_8,9,0.27513
train_8,9.04,0.27513
train_8,9.08,0.27513
train_8,9.12,0.27846
train_8,9.16,0.28846
train_8,9.2,0.29513
train_8,9.24,0.30013
train_8,9.28,0.3018
train_8,9.32,0.3018
train_8,9.36,0.30346
train_8,9.4,0.30846
train_8,9.44,0.31346
train_8,9.48,0.3168
train_8,9.52,0.32013
train_8,9.56,0.32513
train_8,9.6,0.33346
train_8,9.64,0.33513
train_8,9.68,0.3368
train_8,9.72,0.3368
train_8,9.76,0.34013
train_8,9.8,0.33846
train_8,9.84,0.33846
train_8,9.88,0.33846
train_8,9.92,0.34013
train_8,9.96,0.3418
train_8,10,0.340131
train_8,10.04,0.336798
train_8,10.08,0.331798
train_8,10.12,0.331798
train_8,10.16,0.331798
train_8,10.2,0.330131
train_8,10.24,0.330131
train_8,10.28,0.331798
train_8,10.32,0.331798
train_8,10.36,0.331798
train_8,10.4,0.328464
train_8,10.44,0.325131
train_8,10.48,0.320131
train_8,10.52,0.311798
train_8,10.56,0.306798
train_8,10.6,0.298464
train_8,10.64,0.286798
train_8,10.68,0.276798
train_8,10.72,0.273464
train_8,10.76,0.268464
train_8,10.8,0.263464
train_8,10.84,0.258464
train_8,10.88,0.253464
train_8,10.92,0.238464
train_8,10.96,0.230131
train_8,11,0.228464
train_8,11.04,0.226798
train_8,11.08,0.221798
train_8,11.12,0.216798
train_8,11.16,0.198464
train_8,11.2,0.185131
train_8,11.24,0.176798
train_8,11.28,0.171798
train_8,11.32,0.170131
train_8,11.36,0.166798
train_8,11.4,0.161798
train_8,11.44,0.158464
train_8,11.48,0.158464
train_8,11.52,0.156798
train_8,11.56,0.156798
train_8,11.6,0.155131
train_8,11.64,0.153464
train_8,11.68,0.155131
train_8,11.72,0.156798
train_8,11.76,0.158464
train_8,11.8,0.158464
train_8,11.84,0.160131
train_8,11.88,0.161798
train_8,11.92,0.161798
train_8,11.96,0.163464
train_8,12,0.166798
train_8,12.04,0.173464
train_8,12.08,0.173464
train_8,12.12,0.173464
train_8,12.16,0.173464
train_8,12.2,0.166798
train_8,12.24,0.161798
train_8,12.28,0.158464
train_8,12.32,0.155131
train_8,12.36,0.153464
train_8,12.4,0.151798
train_8,12.44,0.148464
train_8,12.48,0.138464
