@relation GOLDSTANDARD_VALENCE

@attribute Instance_name string
@attribute frameTime numeric
@attribute GoldStandard numeric


@data

train_9,0,-0.016574
train_9,0.04,-0.016574
train_9,0.08,-0.016574
train_9,0.12,-0.016574
train_9,0.16,-0.016574
train_9,0.2,-0.016574
train_9,0.24,-0.016574
train_9,0.28,-0.016574
train_9,0.32,-0.016574
train_9,0.36,-0.016574
train_9,0.4,-0.013241
train_9,0.44,-0.0099077
train_9,0.48,-0.0065744
train_9,0.52,0.0034256
train_9,0.56,0.018426
train_9,0.6,0.028426
train_9,0.64,0.028426
train_9,0.68,0.030092
train_9,0.72,0.030092
train_9,0.76,0.030092
train_9,0.8,0.026759
train_9,0.84,0.011759
train_9,0.88,-0.013241
train_9,0.92,-0.018241
train_9,0.96,-0.011574
train_9,1,-0.0049077
train_9,1.04,9.2293e-05
train_9,1.08,0.0034256
train_9,1.12,0.0050923
train_9,1.16,0.0050923
train_9,1.2,0.006759
train_9,1.24,0.006759
train_9,1.28,0.006759
train_9,1.32,0.006759
train_9,1.36,0.006759
train_9,1.4,0.006759
train_9,1.44,0.010092
train_9,1.48,0.011759
train_9,1.52,0.013426
train_9,1.56,0.015092
train_9,1.6,0.021759
train_9,1.64,0.026759
train_9,1.68,0.030092
train_9,1.72,0.031759
train_9,1.76,0.035092
train_9,1.8,0.035092
train_9,1.84,0.035092
train_9,1.88,0.036759
train_9,1.92,0.036759
train_9,1.96,0.040092
train_9,2,0.043426
train_9,2.04,0.046759
train_9,2.08,0.048426
train_9,2.12,0.048426
train_9,2.16,0.048426
train_9,2.2,0.048426
train_9,2.24,0.051759
train_9,2.28,0.053426
train_9,2.32,0.053426
train_9,2.36,0.053426
train_9,2.4,0.056759
train_9,2.44,0.058426
train_9,2.48,0.058426
train_9,2.52,0.058426
train_9,2.56,0.058426
train_9,2.6,0.058426
train_9,2.64,0.058426
train_9,2.68,0.058426
train_9,2.72,0.058426
train_9,2.76,0.058426
train_9,2.8,0.056759
train_9,2.84,0.055092
train_9,2.88,0.050092
train_9,2.92,0.046759
train_9,2.96,0.045092
train_9,3,0.045092
train_9,3.04,0.045092
train_9,3.08,0.043426
train_9,3.12,0.043426
train_9,3.16,0.040092
train_9,3.2,0.035092
train_9,3.24,0.031759
train_9,3.28,0.030092
train_9,3.32,0.028426
train_9,3.36,0.031759
train_9,3.4,0.036759
train_9,3.44,0.036759
train_9,3.48,0.038426
train_9,3.52,0.041759
train_9,3.56,0.041759
train_9,3.6,0.041759
train_9,3.64,0.045092
train_9,3.68,0.046759
train_9,3.72,0.048426
train_9,3.76,0.048426
train_9,3.8,0.048426
train_9,3.84,0.051759
train_9,3.88,0.053426
