@relation FACE_BOUNDING_BOX

@attribute Instance_name string
@attribute frameTime numeric
@attribute top_left_X_coordinate numeric
@attribute top-left-Y-coordinate numeric
@attribute width numeric
@attribute height numeric


@data

train_4,0,526.36,335.72,171.37,205.21
train_4,0.04,522.01,335.98,188.43,193.11
train_4,0.08,510.18,319.75,188.46,196.98
train_4,0.12,506.29,307.99,178.44,196.11
train_4,0.16,500.4,298.04,169.81,197.62
train_4,0.2,495.35,293.11,163.3,191.21
train_4,0.24,492.24,287.83,159.69,182.64
train_4,0.28,499.53,282.8,155.23,172.48
train_4,0.32,506.17,281.38,154.01,168.35
train_4,0.36,511.53,279.42,158.34,165.7
train_4,0.4,520.23,277.89,159.3,158.54
train_4,0.44,531.31,275,157.8,152.57
train_4,0.48,535.57,273.99,157.38,153.58
train_4,0.52,535.93,271.14,162.33,159.04
train_4,0.56,535.59,269.55,164.72,162.18
train_4,0.6,538.65,271.01,164.4,159.83
train_4,0.64,541.2,271.46,164.64,158.68
train_4,0.68,549.33,275.89,162.58,157.32
train_4,0.72,552.54,276.38,161.18,157.42
train_4,0.76,554.42,277.12,159.49,154.61
train_4,0.8,554.81,277.49,159.69,153.3
train_4,0.84,554.56,277.98,160.92,152.82
train_4,0.88,553.68,278.26,160.68,153.12
train_4,0.92,551.9,280.79,165.58,152.23
train_4,0.96,551.38,280.97,164.22,153.29
train_4,1,548.89,281.47,167.65,154.11
train_4,1.04,549.08,280.83,166.98,159.14
train_4,1.08,548.65,281.95,167.19,166.66
train_4,1.12,548.49,281.56,166.73,167.21
train_4,1.16,545.84,280.96,169.82,168
train_4,1.2,547.41,281.53,170.21,164.64
train_4,1.24,548.43,281.18,169.13,165.04
train_4,1.28,548.94,281.5,171.9,164.86
train_4,1.32,554.09,282.18,168.34,159.31
train_4,1.36,558.33,283.79,165.99,159.63
train_4,1.4,557.89,284.67,168.09,161.9
train_4,1.44,560.7,285.65,165.93,161.99
train_4,1.48,561.65,284.36,167.09,161.96
train_4,1.52,561.45,284.63,169.26,164.27
train_4,1.56,560.57,285.15,169.87,167.52
train_4,1.6,558.83,284.63,172.31,172.98
train_4,1.64,557.48,286.49,173.02,174.85
train_4,1.68,556.84,285.99,173.7,178.9
train_4,1.72,552.44,285.88,174.71,172.62
train_4,1.76,548.88,285.77,177.49,170.76
train_4,1.8,546.71,285.57,177.09,170.28
train_4,1.84,545.18,287.01,176.95,169.06
train_4,1.88,546.585,286.72,174.53,168.495
train_4,1.92,547.99,286.43,172.11,167.79
train_4,1.96,547.63,286.66,171.97,164.58
train_4,2,549,287.57,170.35,163.51
train_4,2.04,549.88,287.91,170.75,162.5
train_4,2.08,549.7,288.22,172.13,165.27
train_4,2.12,550.5,287.37,172.51,167.18
train_4,2.16,551.3,288.34,170.47,165.47
train_4,2.2,549.55,288.06,175.23,180.91
train_4,2.24,549.28,289.73,177.31,182.35
train_4,2.28,548.34,290.51,177.77,178.41
train_4,2.32,548.54,291.56,178.34,176.81
train_4,2.36,551.98,292.77,175.36,170.61
train_4,2.4,555.87,292.74,173.63,168.51
train_4,2.44,558.85,292.47,171.99,168.41
train_4,2.48,559.54,294.3,172.27,167.1
train_4,2.52,560.17,293.16,172.95,168.63
train_4,2.56,559.5,292.52,172.33,169.23
train_4,2.6,558.2,293.14,173.74,169.64
train_4,2.64,558.37,292.66,174.07,170.43
train_4,2.68,559.57,293.49,172.9,170.58
train_4,2.72,559.47,293,174.46,168.99
train_4,2.76,560.21,293.18,173.61,169.57
train_4,2.8,561.68,292.6,174,170.86
train_4,2.84,561.16,293.71,175.46,170.16
train_4,2.88,562.57,294.65,173.75,170.06
train_4,2.92,562.35,294.36,173.21,168.69
train_4,2.96,562.2,294.85,172.94,169.72
train_4,3,562.09,294.21,173.21,169.95
train_4,3.04,562.49,294.35,173.24,170.43
train_4,3.08,561.98,295.05,172.45,169.2
train_4,3.12,561.87,294.65,171.44,169.12
train_4,3.16,560.53,294.64,173.27,169.22
train_4,3.2,559.66,294.83,174.56,169.39
train_4,3.24,561.54,295.06,173.66,168.94
train_4,3.28,560.89,294.47,173.09,169.06
train_4,3.32,560.99,295.11,174.13,170.08
train_4,3.36,561.71,295.24,172.93,171.64
train_4,3.4,561.67,295.32,173.26,169.85
train_4,3.44,562.3,295.67,172.61,169.97
train_4,3.48,560.17,295.38,174.49,169.8
train_4,3.52,560.34,295.36,173.19,169.11
train_4,3.56,560.09,295.31,175.03,168.74
train_4,3.6,560.64,295.11,172.92,169.8
train_4,3.64,560.32,295.16,173.84,170.36
train_4,3.68,560.8,295.59,173.58,170.15
train_4,3.72,560.39,295.79,173.78,170.59
train_4,3.76,558.37,295.69,176.55,173.43
train_4,3.8,557.01,295.46,173.28,175.08
train_4,3.84,555.8,294.57,173.36,176.79
train_4,3.88,555.03,293.56,174.58,176.1
train_4,3.92,554.47,292.65,173.26,168.57
train_4,3.96,552.08,291.72,172.45,171.67
train_4,4,551.98,292.36,173.9,171.62
train_4,4.04,551.47,292.31,175.06,174.48
train_4,4.08,552.87,292.16,174.74,177.12
train_4,4.12,552.32,291.32,174.96,176.68
train_4,4.16,552.95,291.67,172.76,173.16
train_4,4.2,551.66,290.7,172.42,175.12
train_4,4.24,548.79,289.67,175.57,177.55
train_4,4.28,548.64,289.29,172.55,169.42
train_4,4.32,546.47,288.6,173.16,168.6
train_4,4.36,545.48,288.88,172.94,169.96
train_4,4.4,545.96,288.28,173.07,172.06
train_4,4.44,544.34,288.98,174.82,170.26
train_4,4.48,547.02,288.6,172.29,171.32
train_4,4.52,546.69,288.13,173.43,173.58
train_4,4.56,546.01,288.89,172.82,173.53
train_4,4.6,545.01,288.63,172.62,174.93
train_4,4.64,544.59,289.6,172.52,175.77
train_4,4.68,543.03,290.65,173.11,175.95
train_4,4.72,542.81,291.5,173.08,174.99
train_4,4.76,543.37,292.69,171,174.32
train_4,4.8,542.64,292.31,172.15,176.77
train_4,4.84,540.1,293.86,173.24,176.39
train_4,4.88,538.2,294.17,175.38,180.03
train_4,4.92,539.13,294.4,173.57,178.25
train_4,4.96,540.49,295.23,172.01,179.34
train_4,5,539.62,296.24,173.87,178.31
train_4,5.04,539.73,297.21,173.25,177.94
train_4,5.08,543.09,297.51,171.59,177.12
train_4,5.12,543.04,297.78,172.11,178.4
train_4,5.16,542.97,299.64,172.25,175.79
train_4,5.2,544.35,299.81,172.68,176.08
train_4,5.24,546.09,302.31,171.98,177.66
train_4,5.28,547.42,304.06,172.37,179.85
train_4,5.32,548.91,307.79,170.52,179.51
train_4,5.36,549.71,311.62,169.79,178.32
train_4,5.4,548.46,325.91,175.2,182.82
train_4,5.44,547.8,335.78,174.93,180.8
train_4,5.48,545.09,345.29,176.76,180.11
train_4,5.52,540.9,354.65,181.87,178.08
train_4,5.56,539.52,363.08,181.97,174.25
train_4,5.6,538.71,369.22,181.21,172.4
train_4,5.64,535.73,377.63,182.79,169.37
train_4,5.68,536.14,380.44,182.05,169.41
train_4,5.72,535.13,382.69,183.51,168.78
train_4,5.76,535.52,385.3,183.71,169.58
train_4,5.8,535.76,389.62,183.02,168.95
train_4,5.84,536.99,391.45,178.72,165.67
train_4,5.88,536.36,393.57,181.13,166.69
train_4,5.92,535.8,395.81,182.98,166.75
train_4,5.96,536.41,396.97,183.17,165.06
train_4,6,535.47,396.96,184.19,166.11
train_4,6.04,538.25,398.11,184.17,166.55
train_4,6.08,538.82,398.38,184.02,165.95
train_4,6.12,539.88,398.58,182.14,166.62
train_4,6.16,539.26,397.86,181.02,166.3
train_4,6.2,539.21,396.97,182.01,167.23
train_4,6.24,538.32,397.39,183.28,166.08
train_4,6.28,538.09,397.7,182.04,166.56
train_4,6.32,538.33,398.03,182.6,167.15
train_4,6.36,540.02,397.16,178.33,167.61
train_4,6.4,539.15,396.44,181.12,168.13
train_4,6.44,538.99,397,184.16,165.48
train_4,6.48,538.81,395.62,184.86,165.98
train_4,6.52,536.34,394.95,186.95,168.22
train_4,6.56,537.4,394.11,188.25,168.8
train_4,6.6,539.93,393.11,185.28,170.91
train_4,6.64,539.8,390.35,183,173.36
train_4,6.68,537.79,382.58,181.51,170.53
train_4,6.72,536.7,377.07,179.52,171.16
train_4,6.76,534.34,367.75,177.84,174.54
train_4,6.8,529.54,354.92,182.07,177.65
train_4,6.84,523.06,329.79,185.46,179.63
train_4,6.88,521.95,319.5,182.29,179.64
train_4,6.92,520.51,311.71,183.08,181.37
train_4,6.96,524.67,305.46,175.7,186.56
train_4,7,524.26,300.83,174.22,185.02
train_4,7.04,524.86,297.87,172.46,181.71
train_4,7.08,529.45,292.89,167.47,175.69
train_4,7.12,530.59,290.92,168.64,171.05
train_4,7.16,533.07,289.5,167.08,169.16
train_4,7.2,535.4,287.68,168.81,169.96
train_4,7.24,540.63,287.28,167.53,169.92
train_4,7.28,542.37,287.37,169.8,166.99
train_4,7.32,542.7,287.3,171.65,165.59
train_4,7.36,546.28,288.23,168.1,164.2
train_4,7.4,547.36,289.51,169.54,162.21
train_4,7.44,550.36,290.26,167.85,159.87
train_4,7.48,554.26,289.99,166.62,157.07
train_4,7.52,556.27,290.47,163.57,155.13
train_4,7.56,558.02,289.69,160.9,155.87
train_4,7.6,559.76,289.76,161,156.63
train_4,7.64,559.62,289.11,162.16,156.43
train_4,7.68,559.64,289.86,162.84,157.48
train_4,7.72,560.08,290.22,160.71,156.69
train_4,7.76,559.78,290.55,161.52,157.18
train_4,7.8,558.22,290.77,162,155.93
train_4,7.84,558.39,290.7,162.74,156.27
train_4,7.88,557.38,290.33,162.7,157.78
train_4,7.92,557.66,290.87,162.14,157.1
train_4,7.96,554.85,291.46,165.41,157.85
train_4,8,555.69,291.31,161.87,158.38
train_4,8.04,554.55,291.96,163.94,158.23
train_4,8.08,554.97,291.47,163.28,159.52
train_4,8.12,553.49,291.99,164.89,158.55
train_4,8.16,551.23,291.85,166.91,158.19
train_4,8.2,552.21,291.42,163.76,160.23
train_4,8.24,550.49,291.63,165.62,160.8
train_4,8.28,550,292.14,164.58,161.79
train_4,8.32,548.14,291.58,166.19,161.46
train_4,8.36,547.49,291.77,165.53,162.59
train_4,8.4,547.61,292.3,164.79,162.23
train_4,8.44,546.6,292.17,163.46,160.69
train_4,8.48,548.28,292.48,162.44,161.48
train_4,8.52,545.58,294.09,164.63,160.38
train_4,8.56,545.37,293.88,163.53,160.59
train_4,8.6,544.13,294.2,164.1,160.93
train_4,8.64,542.78,294.22,164.1,162.77
train_4,8.68,541.64,293.6,165.55,162.46
train_4,8.72,541.78,294.69,165.05,162.3
train_4,8.76,541.88,294.54,165.64,161.19
train_4,8.8,539.46,294.6,167.22,161.94
train_4,8.84,538.94,294.76,167.14,162.56
train_4,8.88,538.26,294.97,166.78,161.91
train_4,8.92,540.4,294.86,163.44,161.94
train_4,8.96,539.82,295.07,164.71,160.95
train_4,9,539.41,294.69,166.92,161.15
train_4,9.04,538.97,293.78,169.75,162.35
train_4,9.08,539.45,293.63,167.75,162.77
train_4,9.12,539.22,294.14,169.92,160.94
train_4,9.16,538.82,294.69,169.75,161.76
train_4,9.2,538.9,294.14,170.82,161.87
train_4,9.24,539.88,294.6,170.24,162.98
train_4,9.28,540.05,294.09,169.95,160.91
train_4,9.32,542.14,292.89,167.49,160.39
train_4,9.36,543.95,292.79,165.51,161.58
train_4,9.4,541.42,292.05,169,161.62
train_4,9.44,542.24,291.76,166.26,159.3
train_4,9.48,541.11,291.61,168.91,160.82
train_4,9.52,540.96,291.8,167.92,160.31
train_4,9.56,539.97,290.52,169.85,159.65
train_4,9.6,541.08,289.35,167.81,159.72
train_4,9.64,539.04,289.01,168.66,158.89
train_4,9.68,541.69,288.83,166.15,160.54
train_4,9.72,538.25,288.67,170.08,159.03
train_4,9.76,538.23,288.71,169.75,159.39
train_4,9.8,538.11,288.48,168.89,159.2
train_4,9.84,539.94,287.74,167.05,159.22
train_4,9.88,538.99,287.78,168.99,159.49
train_4,9.92,539.83,287.97,167,159
train_4,9.96,540.59,287.95,167.48,159.06
train_4,10,538.47,288.31,170.72,159.51
train_4,10.04,540.97,288.54,167.56,159.9
train_4,10.08,540.09,287.07,168.86,160.05
train_4,10.12,539.98,288.41,168.01,161.07
train_4,10.16,539.78,288.93,168.09,159.77
train_4,10.2,536.97,288.95,172.13,161.21
train_4,10.24,538.63,288.45,169.91,161.39
train_4,10.28,538.9,289.36,170.11,161.17
train_4,10.32,538.22,288.72,170.4,162.47
train_4,10.36,539.75,288.75,168.92,162.04
train_4,10.4,540.97,288.83,168.11,160.4
train_4,10.44,540.31,289.3,167.07,161.52
train_4,10.48,539.81,288.92,168.2,161.2
train_4,10.52,540.93,288.37,167.36,161.38
train_4,10.56,540.59,288.76,167.29,160.83
train_4,10.6,540.98,289.01,165.19,161
train_4,10.64,539.54,289.89,167.67,160.16
train_4,10.68,542.16,288.72,166.77,161.38
train_4,10.72,542.61,289.21,165.14,160.46
train_4,10.76,539.94,288.76,168.78,161.3
